family,alpha,file,overlap,p,sigma_y,n_ok,lam_min,lam_floor,rmse_min,rmse_floor,gain_floor,cv.bloss_vs_min,cv.smd_vs_min,cv.inf_vs_min,boot.smd_vs_min,boot.inf_vs_min,best,rmse_best,best_vs_floor,z_best,z_bootinf,z_cvbloss,s_y,dense,n,mcse_rel
dimhi,0.75,dimhi_10_r200.rds,bad,2000,1,200,0.15817671896073057,0.062388157338688056,0.3994576167731098,0.6042794167307218,0.5127497670771664,1.099652484793899,2.6871663399422085,2.0089699655268776,2.674935187814601,1.1523654017458613,cv.bloss,0.4392645608543993,-0.2730770754514318,-57.66640840382109,-65.72248601511991,-57.66640840382109,NA,NA,NA,0.05
dimhi,1,dimhi_11_r200.rds,moderate,2000,1,200,0.10933963169670138,0.10933963169670138,0.2540586476822831,0.2540586476822831,0,1.2518965688772659,3.674261740472184,2.768729817976419,3.631647770758949,1.5458173962654997,cv.bloss,0.3180551493270483,0.25189656887726586,26.8184607643948,34.69993791010063,26.8184607643948,NA,NA,NA,0.05
dimhi,1,dimhi_12_r200.rds,bad,2000,1,200,0.16011475031068415,0.16011475031068415,0.36764454533155444,0.36764454533155444,0,1.1419023869676688,2.9073560812811614,2.196296264517651,2.885485652353817,1.4066449251205924,cv.bloss,0.41981418386974534,0.14190238696766877,17.425844951480645,49.15247068045762,17.425844951480645,NA,NA,NA,0.05
dimsnr,0.5,dimsnr_01_r200.rds,moderate,500,1,200,0.11209920306244224,0.012592372887772539,0.26286144532863603,0.40417751205950453,0.537606671660013,1.250156849565602,3.4571925988215564,2.3951867401232922,3.251043283884516,1.0504286929501512,boot.inf,0.27611720444354676,-0.3168417435285322,-44.20380272750386,-44.20380272750386,-23.576386789574542,NA,NA,NA,0.05
dimsnr,0.5,dimsnr_01_r200.rds,moderate,500,3,200,0.1174368910033819,0.012592372887772539,0.3004141369023121,0.4286389118666548,0.4268267009219959,1.1796153640858327,3.057148838887891,2.132867181416093,2.8791970824254856,1.0445686412963069,boot.inf,0.3138031868102509,-0.26790784008925483,-18.446460137112812,-18.446460137112812,-10.496836288008321,NA,NA,NA,0.05
dimsnr,0.5,dimsnr_01_r200.rds,moderate,500,10,200,0.14818854923849148,0.012592372887772539,0.591233628218994,0.6674753958050939,0.1289537061952435,1.0195462249367144,1.7071818129415086,1.2901884739148837,1.6274402584048393,1.0458702086926057,cv.bloss,0.6027900137063121,-0.09691051161632658,-3.054051339399198,-2.843685385006841,-3.054051339399198,NA,NA,NA,0.05
dimsnr,0.5,dimsnr_02_r200.rds,bad,500,1,200,0.15265878743018416,0.01882048883304821,0.40836501945057785,0.5664322706618198,0.38707343597624666,1.0858966303820408,2.565357918654573,1.8206558055107982,2.478241475347962,1.0144826222881682,boot.inf,0.414279215782981,-0.26861650149463245,-55.55006049987239,-55.55006049987239,-37.4690568797534,NA,NA,NA,0.05
dimsnr,0.5,dimsnr_02_r200.rds,bad,500,3,200,0.15265878743018416,0.01882048883304821,0.4281127473098947,0.5741777153284786,0.3411834123987274,1.0705752643593274,2.4484109230961915,1.7386100771171615,2.3654884614400125,1.010370064145223,boot.inf,0.4325523039608859,-0.24665779877327854,-21.016520357715336,-21.016520357715336,-14.015621593389097,NA,NA,NA,0.05
dimsnr,0.5,dimsnr_02_r200.rds,bad,500,10,200,0.17552050875679015,0.01882048883304821,0.6706205807900136,0.7344317923157402,0.09515248018567335,1.0090198718982932,1.6505842707980447,1.2323690374685872,1.6010460965297901,0.9968336505818688,boot.inf,0.6684971617042423,-0.08977638400374677,-3.3110676988062364,-3.3110676988062364,-2.3363760999972305,NA,NA,NA,0.05
dimsnr,1,dimsnr_03_r200.rds,moderate,500,1,200,0.08762325753536421,0.08762325753536421,0.2137509690168138,0.2137509690168138,0,1.3696784374454598,4.276156695165902,2.9802063712781157,4.051083333371353,1.4626898767142,cv.bloss,0.29277009324540243,0.3696784374454598,24.054708774276374,16.4844008727604,24.054708774276374,NA,NA,NA,0.05
dimsnr,1,dimsnr_03_r200.rds,moderate,500,3,200,0.08762325753536421,0.08762325753536421,0.28636107080632717,0.28636107080632717,0,1.196481548025061,3.237196364467718,2.289062637330645,3.071445071672226,1.2445763407193497,cv.bloss,0.3426257372924684,0.19648154802506101,11.21930800786702,10.834763764361666,11.21930800786702,NA,NA,NA,0.05
dimsnr,1,dimsnr_03_r200.rds,moderate,500,10,200,0.115832789698634,0.08762325753536421,0.653074575426547,0.6789722822949411,0.03965505294931959,1.0043107953872912,1.5749694364097837,1.228894499596254,1.5107749227157627,0.99959671495984,boot.inf,0.6528112002201687,-0.03853041244385913,-1.6604163056420036,-1.6604163056420036,-1.5693970704316587,NA,NA,NA,0.05
dimsnr,1,dimsnr_04_r200.rds,bad,500,1,200,0.14678561385442374,0.14678561385442374,0.34060849282960365,0.34060849282960365,0,1.1667850520002792,3.0986917220149746,2.1922179064848852,3.0098704666199994,1.4307261623077836,cv.bloss,0.3974168980179258,0.16678505200027915,15.104806756837224,41.250564718873655,15.104806756837224,NA,NA,NA,0.05
dimsnr,1,dimsnr_04_r200.rds,bad,500,3,200,0.14678561385442374,0.14678561385442374,0.40966444296205656,0.40966444296205656,0,1.100300530656384,2.5839574440067525,1.8470531132430585,2.5112746793676024,1.2698521273048335,cv.bloss,0.4507540039822028,0.100300530656384,9.696881988367963,20.19413167515644,9.696881988367963,NA,NA,NA,0.05
dimsnr,1,dimsnr_04_r200.rds,bad,500,10,200,0.2337242072504087,0.14678561385442374,0.8080168747027107,0.8724520550528153,0.07974484490043832,1.0509584653359723,1.404152491953568,1.1063196209690953,1.3722152216404133,1.0030747115572685,boot.inf,0.810501293525827,-0.07100764009689675,-3.447629103718367,-3.447629103718367,-2.387404062349023,NA,NA,NA,0.05
