family,cell,overlap,alpha,p,reps,lam,rmse,cv.bloss,cv.smd,cv.inf,boot.smd,boot.inf,sigma_y,n,s
dimhi,dimhi_02_r200,bad,0.5,1000,200,0.2748490784736169,0.5104882648679018,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,0.2623567636719183,0.4975638842610211,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,0.25043224385782314,0.48600958236989245,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,0.23904971187284513,0.47584110651483524,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,0.2281845335336804,0.4670298148407301,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,0.21781319431867519,0.4596085680388186,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,0.20791324847747553,0.453725629250158,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,0.19846327045372267,0.44936737184041703,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,0.1894428085156612,0.4466610706773968,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,0.18083234049430771,0.44555753070163656,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,0.17261323153338867,0.4458528926376942,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,0.16476769375960798,0.447458261615081,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,0.1572787477859635,0.45029590381294526,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,0.15013018596479732,0.45430977757109847,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,0.14330653731105145,0.4593805122504922,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
