family,design,alpha,file,sigma_y,n_ok,lam_min,lam_floor,rmse_min,rmse_floor,gain_floor,cv.bloss_vs_min,cv.smd_vs_min,cv.inf_vs_min,boot.smd_vs_min,boot.inf_vs_min,lam_bloss,lam_bootinf,RMSE_cv,RMSE_boot,CV_excess_pct,Boot_excess_pct,best,rmse_best,best_vs_floor,z_best,z_bootinf,z_cvbloss,overlap,p,n,c_prop,s,s_y,dense,r2,mcse_rel
dimhi,"p in {1000, 2000} x alpha x overlap",0.5,dimhi_08_r200.rds,1,200,0.20642734351726189,0.053568395432222506,0.46776093420485915,0.7143689439174393,0.5272095031445625,1.0323914256131708,2.2835360258673734,1.6940266857450226,2.267536563360734,1.0141730779675788,0.2438061063177581,0.17813185860353623,0.48291237770990314,0.47439054639553213,3.2391425613170766,1.4173077967578829,boot.inf,0.47439054639553213,-0.33593061339693664,-85.93704635104584,-85.93704635104584,-80.43210131259364,bad,2000,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dimhi,"p in {1000, 2000} x alpha x overlap",0.75,dimhi_10_r200.rds,1,200,0.15817671896073057,0.062388157338688056,0.39945761677310976,0.6042794167307218,0.5127497670771666,1.0996524847938989,2.6871663399422085,2.0089699655268776,2.6749351878146013,1.1523654017458613,0.2044456486180983,0.10973432346773906,0.4392645608543992,0.46032113703318894,9.965248479389889,15.236540174586132,cv.bloss,0.4392645608543992,-0.273077075451432,-57.66640840382109,-65.72248601511994,-57.66640840382109,bad,2000,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dimhi,"p in {1000, 2000} x alpha x overlap",1,dimhi_12_r200.rds,1,200,0.16011475031068415,0.16011475031068415,0.36764454533155444,0.36764454533155444,0,1.1419023869676692,2.90735608128116,2.196296264517651,2.885485652353816,1.4066449251205924,0.1846759286679056,0.23020944986791053,0.41981418386974545,0.5171453339388986,14.190238696766922,40.66449251205923,cv.bloss,0.41981418386974545,0.14190238696766921,17.42584495148064,49.15247068045762,17.42584495148064,bad,2000,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dimhi,"p in {1000, 2000} x alpha x overlap",0.5,dimhi_01_r200.rds,1,200,0.14330465894649377,0.02813128708521245,0.30397123198770504,0.5018942818454589,0.6511242809509008,1.1566739773498416,3.0517976790822257,2.193501041584842,2.9783494124936363,1.0671925634235468,0.2091577887631485,0.11029042094044034,0.35159561390315014,0.32439583827197255,15.667397734984156,6.719256342354685,boot.inf,0.32439583827197255,-0.3536570349453412,-59.90445223117709,-59.90445223117709,-45.39844038831296,moderate,1000,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dimhi,"p in {1000, 2000} x alpha x overlap",0.75,dimhi_03_r200.rds,1,200,0.10306683638049952,0.0370403004869355,0.26006855867404816,0.4364330302386805,0.6781460721888928,1.2622877796113232,3.5902818520829918,2.5882669251043833,3.5188152466575886,1.324248621500282,0.16105070529289714,0.06240463345693651,0.3282813634753814,0.34439543031967346,26.228777961132323,32.4248621500282,cv.bloss,0.3282813634753814,-0.24780816132122752,-29.462649153835006,-37.695297167785185,-29.462649153835006,moderate,1000,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dimhi,"p in {1000, 2000} x alpha x overlap",1,dimhi_05_r200.rds,1,200,0.10159920764184988,0.10159920764184988,0.2469791273706499,0.2469791273706499,0,1.26648814681819,3.8189810132038247,2.7397612252340777,3.7331207479020705,1.4830914984310142,0.13270717209511534,0.15522740888709202,0.31279613732642814,0.36629264409332146,26.64881468181901,48.309149843101416,cv.bloss,0.31279613732642814,0.2664881468181901,26.738021041782368,23.41505435856303,26.738021041782368,moderate,1000,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dimhi,"p in {1000, 2000} x alpha x overlap",0.5,dimhi_07_r200.rds,1,200,0.16345649784010205,0.046552996877750975,0.3348341747985198,0.5754357155733846,0.7185692467611535,1.1057365691737886,2.789606472272517,2.0774660212051494,2.7590544164084676,1.06353358396693,0.22388165194457355,0.13378505715941783,0.3702383916838519,0.3561073899580792,10.573656917378859,6.3533583966929985,boot.inf,0.3561073899580792,-0.3811517423744871,-72.95008254047553,-72.95008254047553,-67.10357080704979,moderate,2000,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dimhi,"p in {1000, 2000} x alpha x overlap",0.75,dimhi_09_r200.rds,1,200,0.11999576916998334,0.054416623467531566,0.2862528966960876,0.4748926609751888,0.658996874639066,1.194724368731879,3.295404761127625,2.47986738246254,3.2629040327610084,1.290745019440437,0.17045893490214445,0.08072770263806663,0.341993311302905,0.36947950071087304,19.472436873187892,29.074501944043707,cv.bloss,0.341993311302905,-0.2798513445109383,-42.89834371462277,-46.2329098850379,-42.89834371462277,moderate,2000,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dimhi,"p in {1000, 2000} x alpha x overlap",1,dimhi_11_r200.rds,1,200,0.10933963169670138,0.10933963169670138,0.2540586476822831,0.2540586476822831,0,1.2518965688772659,3.6742617404721836,2.7687298179764177,3.631647770758949,1.5458173962654997,0.1397274729391876,0.17346075270866612,0.3180551493270483,0.3927282772589608,25.189656887726585,54.581739626549975,cv.bloss,0.3180551493270483,0.25189656887726586,26.8184607643948,34.69993791010063,26.8184607643948,moderate,2000,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dimsnr,SNR at high p x alpha x overlap,0.5,dimsnr_02_r200.rds,1,200,0.15265878743018416,0.01882048883304821,0.408365019450578,0.5664322706618198,0.387073435976246,1.0858966303820403,2.565357918654573,1.8206558055107975,2.478241475347961,1.0144826222881678,0.21846288413389686,0.12864126680755222,0.443442198587279,0.414279215782981,8.589663038204032,1.4482622288167768,boot.inf,0.414279215782981,-0.26861650149463245,-55.550060499872394,-55.550060499872394,-37.46905687975341,bad,500,NA,NA,NA,NA,NA,0.6904024767801857,0.05
